trial,time,depot_id,drone_ids,lat,lon,num_drones
90,91,3,dn7,37.718779,-122.462401,1
90,91,5,dn14;dn15,37.739611,-122.492203,2
90,92,3,dn7,37.718779,-122.462401,1
90,92,5,dn14;dn15,37.739611,-122.492203,2
90,93,3,dn7,37.718779,-122.462401,1
90,93,5,dn14;dn15,37.739611,-122.492203,2
90,94,3,dn7,37.718779,-122.462401,1
90,94,5,dn14;dn15,37.739611,-122.492203,2
90,95,3,dn7,37.718779,-122.462401,1
90,95,5,dn14;dn15,37.739611,-122.492203,2
90,96,2,dn5,37.751751,-122.410654,1
90,96,3,dn7,37.718779,-122.462401,1
90,96,5,dn14;dn15,37.739611,-122.492203,2
90,97,2,dn5,37.751751,-122.410654,1
90,97,3,dn7,37.718779,-122.462401,1
90,97,5,dn14;dn15,37.739611,-122.492203,2
90,98,2,dn5,37.751751,-122.410654,1
90,98,3,dn7,37.718779,-122.462401,1
90,98,5,dn14;dn15,37.739611,-122.492203,2
90,99,2,dn5,37.751751,-122.410654,1
90,99,3,dn7,37.718779,-122.462401,1
90,99,5,dn14;dn15,37.739611,-122.492203,2
91,0,1,dn1;dn2;dn3,37.774524,-122.473656,3
91,0,2,dn4;dn5;dn6,37.751751,-122.410654,3
91,0,3,dn7;dn8;dn9,37.718779,-122.462401,3
91,0,4,dn10;dn11;dn12,37.78929,-122.426797,3
91,0,5,dn13;dn14;dn15,37.739611,-122.492203,3
91,1,4,dn12,37.78929,-122.426797,1
91,2,4,dn12,37.78929,-122.426797,1
91,3,4,dn12,37.78929,-122.426797,1
91,4,4,dn12,37.78929,-122.426797,1
91,5,4,dn12,37.78929,-122.426797,1
91,7,1,dn3,37.774524,-122.473656,1
91,9,3,dn9,37.718779,-122.462401,1
91,9,5,dn13;dn14,37.739611,-122.492203,2
91,10,1,dn1,37.774524,-122.473656,1
91,11,5,dn15,37.739611,-122.492203,1
91,14,2,dn5,37.751751,-122.410654,1
91,15,5,dn13,37.739611,-122.492203,1
