trial,time,depot_id,pkg_id,pkg_lat,pkg_lon,depot_lat,depot_lon,distance,approx_travel_time
74,9,5,pkg22,37.759850334493194,-122.4931081106382,37.739611,-122.492203,2.2327808001498464,5
74,9,5,pkg23,37.72113452428127,-122.50622215634192,37.739611,-122.492203,2.375750159526564,6
74,9,5,pkg24,37.71429735754958,-122.47222219348444,37.739611,-122.492203,3.2902145851097573,8
74,9,5,pkg25,37.759056829338355,-122.47110504753263,37.739611,-122.492203,2.8245503027112813,7
74,10,5,pkg7,37.77405216386039,-122.4962082400427,37.739611,-122.492203,3.8131465325794385,9
74,10,5,pkg18,37.75110260055748,-122.48967806644166,37.739611,-122.492203,1.285925922084798,3
74,10,5,pkg22,37.759850334493194,-122.4931081106382,37.739611,-122.492203,2.2327808001498464,5
74,10,5,pkg23,37.72113452428127,-122.50622215634192,37.739611,-122.492203,2.375750159526564,6
74,10,5,pkg24,37.71429735754958,-122.47222219348444,37.739611,-122.492203,3.2902145851097573,8
74,10,5,pkg25,37.759056829338355,-122.47110504753263,37.739611,-122.492203,2.8245503027112813,7
74,10,5,pkg27,37.74782673052681,-122.4967864012801,37.739611,-122.492203,0.9899978576225896,3
74,13,5,pkg7,37.77405216386039,-122.4962082400427,37.739611,-122.492203,3.8131465325794385,9
74,13,5,pkg18,37.75110260055748,-122.48967806644166,37.739611,-122.492203,1.285925922084798,3
74,13,5,pkg23,37.72113452428127,-122.50622215634192,37.739611,-122.492203,2.375750159526564,6
74,13,5,pkg24,37.71429735754958,-122.47222219348444,37.739611,-122.492203,3.2902145851097573,8
74,13,5,pkg25,37.759056829338355,-122.47110504753263,37.739611,-122.492203,2.8245503027112813,7
74,13,5,pkg27,37.74782673052681,-122.4967864012801,37.739611,-122.492203,0.9899978576225896,3
74,13,5,pkg28,37.77820661171203,-122.48992884730407,37.739611,-122.492203,4.2597782559337025,10
74,14,3,pkg14,37.716639823959504,-122.4395324994943,37.718779,-122.462401,2.0083222692262246,5
74,14,3,pkg23,37.72113452428127,-122.50622215634192,37.718779,-122.462401,3.830348152937022,9
74,14,3,pkg24,37.71429735754958,-122.47222219348444,37.718779,-122.462401,0.9888541689086898,3
74,14,3,pkg25,37.759056829338355,-122.47110504753263,37.718779,-122.462401,4.504972862247545,10
74,14,3,pkg27,37.74782673052681,-122.4967864012801,37.718779,-122.462401,4.386524698169274,10
74,16,3,pkg23,37.72113452428127,-122.50622215634192,37.718779,-122.462401,3.830348152937022,9
74,16,3,pkg24,37.71429735754958,-122.47222219348444,37.718779,-122.462401,0.9888541689086898,3
74,16,3,pkg25,37.759056829338355,-122.47110504753263,37.718779,-122.462401,4.504972862247545,10
74,16,3,pkg27,37.74782673052681,-122.4967864012801,37.718779,-122.462401,4.386524698169274,10
74,17,5,pkg23,37.72113452428127,-122.50622215634192,37.739611,-122.492203,2.375750159526564,6
74,17,5,pkg25,37.759056829338355,-122.47110504753263,37.739611,-122.492203,2.8245503027112813,7
74,17,5,pkg27,37.74782673052681,-122.4967864012801,37.739611,-122.492203,0.9899978576225896,3
74,17,5,pkg28,37.77820661171203,-122.48992884730407,37.739611,-122.492203,4.2597782559337025,10
74,18,1,pkg25,37.759056829338355,-122.47110504753263,37.774524,-122.473656,1.719690469267998,4
74,18,1,pkg27,37.74782673052681,-122.4967864012801,37.774524,-122.473656,3.567827235586733,8
74,18,1,pkg28,37.77820661171203,-122.48992884730407,37.774524,-122.473656,1.4749999302615446,4
74,18,1,pkg29,37.795929006404556,-122.4900957905292,37.774524,-122.473656,2.7605079927091802,6
74,19,5,pkg27,37.74782673052681,-122.4967864012801,37.739611,-122.492203,0.9899978576225896,3
