trial,time,depot_id,drone_ids,lat,lon,num_drones
26,60,4,dn12,37.78929,-122.426797,1
26,60,5,dn14;dn15,37.739611,-122.492203,2
26,61,3,dn9,37.718779,-122.462401,1
26,61,5,dn14;dn15,37.739611,-122.492203,2
26,62,1,dn3,37.774524,-122.473656,1
26,62,2,dn4;dn6,37.751751,-122.410654,2
26,62,4,dn10,37.78929,-122.426797,1
26,62,5,dn13;dn14;dn15,37.739611,-122.492203,3
26,63,2,dn4;dn6,37.751751,-122.410654,2
26,63,4,dn10,37.78929,-122.426797,1
26,63,5,dn13;dn14;dn15,37.739611,-122.492203,3
26,64,2,dn4;dn6,37.751751,-122.410654,2
26,64,5,dn13;dn14;dn15,37.739611,-122.492203,3
26,65,1,dn1,37.774524,-122.473656,1
26,65,2,dn4;dn6,37.751751,-122.410654,2
26,65,4,dn11,37.78929,-122.426797,1
26,65,5,dn14;dn15,37.739611,-122.492203,2
26,66,2,dn4;dn6,37.751751,-122.410654,2
26,66,4,dn11,37.78929,-122.426797,1
26,66,5,dn14;dn15,37.739611,-122.492203,2
26,67,2,dn4;dn5;dn6,37.751751,-122.410654,3
26,67,4,dn11,37.78929,-122.426797,1
26,67,5,dn15,37.739611,-122.492203,1
26,68,2,dn4;dn5;dn6,37.751751,-122.410654,3
26,68,4,dn11;dn12,37.78929,-122.426797,2
26,68,5,dn15,37.739611,-122.492203,1
26,69,2,dn4;dn5;dn6,37.751751,-122.410654,3
26,69,3,dn8,37.718779,-122.462401,1
26,69,4,dn12,37.78929,-122.426797,1
26,69,5,dn15,37.739611,-122.492203,1
26,70,2,dn4;dn5;dn6,37.751751,-122.410654,3
26,70,4,dn12,37.78929,-122.426797,1
26,70,5,dn13;dn15,37.739611,-122.492203,2
26,71,1,dn2,37.774524,-122.473656,1
26,71,2,dn4;dn5;dn6,37.751751,-122.410654,3
26,71,4,dn12,37.78929,-122.426797,1
26,71,5,dn13;dn15,37.739611,-122.492203,2
26,72,2,dn5;dn6,37.751751,-122.410654,2
26,72,3,dn7,37.718779,-122.462401,1
26,72,4,dn12,37.78929,-122.426797,1
26,72,5,dn13;dn15,37.739611,-122.492203,2
26,73,1,dn3,37.774524,-122.473656,1
26,73,2,dn5;dn6,37.751751,-122.410654,2
26,73,3,dn7,37.718779,-122.462401,1
26,73,4,dn12,37.78929,-122.426797,1
26,73,5,dn13;dn15,37.739611,-122.492203,2
26,74,1,dn3,37.774524,-122.473656,1
26,74,2,dn5;dn6,37.751751,-122.410654,2
26,74,3,dn7,37.718779,-122.462401,1
26,74,4,dn12,37.78929,-122.426797,1
26,74,5,dn14;dn15,37.739611,-122.492203,2
